"","species","body_mass_g","sex"
"1","Adelie Penguin (Pygoscelis adeliae)",3750,"Male"
"2","Adelie Penguin (Pygoscelis adeliae)",3800,"Female"
"3","Adelie Penguin (Pygoscelis adeliae)",3250,"Female"
"4","Adelie Penguin (Pygoscelis adeliae)",3450,"Female"
"5","Adelie Penguin (Pygoscelis adeliae)",3650,"Male"
"6","Adelie Penguin (Pygoscelis adeliae)",3625,"Female"
"7","Adelie Penguin (Pygoscelis adeliae)",4675,"Male"
"8","Adelie Penguin (Pygoscelis adeliae)",3200,"Female"
"9","Adelie Penguin (Pygoscelis adeliae)",3800,"Male"
"10","Adelie Penguin (Pygoscelis adeliae)",4400,"Male"
"11","Adelie Penguin (Pygoscelis adeliae)",3700,"Female"
"12","Adelie Penguin (Pygoscelis adeliae)",3450,"Female"
"13","Adelie Penguin (Pygoscelis adeliae)",4500,"Male"
"14","Adelie Penguin (Pygoscelis adeliae)",3325,"Female"
"15","Adelie Penguin (Pygoscelis adeliae)",4200,"Male"
"16","Adelie Penguin (Pygoscelis adeliae)",3400,"Female"
"17","Adelie Penguin (Pygoscelis adeliae)",3600,"Male"
"18","Adelie Penguin (Pygoscelis adeliae)",3800,"Female"
"19","Adelie Penguin (Pygoscelis adeliae)",3950,"Male"
"20","Adelie Penguin (Pygoscelis adeliae)",3800,"Male"
"21","Adelie Penguin (Pygoscelis adeliae)",3800,"Female"
"22","Adelie Penguin (Pygoscelis adeliae)",3550,"Male"
"23","Adelie Penguin (Pygoscelis adeliae)",3200,"Female"
"24","Adelie Penguin (Pygoscelis adeliae)",3150,"Female"
"25","Adelie Penguin (Pygoscelis adeliae)",3950,"Male"
"26","Adelie Penguin (Pygoscelis adeliae)",3250,"Female"
"27","Adelie Penguin (Pygoscelis adeliae)",3900,"Male"
"28","Adelie Penguin (Pygoscelis adeliae)",3300,"Female"
"29","Adelie Penguin (Pygoscelis adeliae)",3900,"Male"
"30","Adelie Penguin (Pygoscelis adeliae)",3325,"Female"
"31","Adelie Penguin (Pygoscelis adeliae)",4150,"Male"
"32","Adelie Penguin (Pygoscelis adeliae)",3950,"Male"
"33","Adelie Penguin (Pygoscelis adeliae)",3550,"Female"
"34","Adelie Penguin (Pygoscelis adeliae)",3300,"Female"
"35","Adelie Penguin (Pygoscelis adeliae)",4650,"Male"
"36","Adelie Penguin (Pygoscelis adeliae)",3150,"Female"
"37","Adelie Penguin (Pygoscelis adeliae)",3900,"Male"
"38","Adelie Penguin (Pygoscelis adeliae)",3100,"Female"
"39","Adelie Penguin (Pygoscelis adeliae)",4400,"Male"
"40","Adelie Penguin (Pygoscelis adeliae)",3000,"Female"
"41","Adelie Penguin (Pygoscelis adeliae)",4600,"Male"
"42","Adelie Penguin (Pygoscelis adeliae)",3425,"Male"
"43","Adelie Penguin (Pygoscelis adeliae)",3450,"Female"
"44","Adelie Penguin (Pygoscelis adeliae)",4150,"Male"
"45","Adelie Penguin (Pygoscelis adeliae)",3500,"Female"
"46","Adelie Penguin (Pygoscelis adeliae)",4300,"Male"
"47","Adelie Penguin (Pygoscelis adeliae)",3450,"Female"
"48","Adelie Penguin (Pygoscelis adeliae)",4050,"Male"
"49","Adelie Penguin (Pygoscelis adeliae)",2900,"Female"
"50","Adelie Penguin (Pygoscelis adeliae)",3700,"Male"
"51","Adelie Penguin (Pygoscelis adeliae)",3550,"Female"
"52","Adelie Penguin (Pygoscelis adeliae)",3800,"Male"
"53","Adelie Penguin (Pygoscelis adeliae)",2850,"Female"
"54","Adelie Penguin (Pygoscelis adeliae)",3750,"Male"
"55","Adelie Penguin (Pygoscelis adeliae)",3150,"Female"
"56","Adelie Penguin (Pygoscelis adeliae)",4400,"Male"
"57","Adelie Penguin (Pygoscelis adeliae)",3600,"Female"
"58","Adelie Penguin (Pygoscelis adeliae)",4050,"Male"
"59","Adelie Penguin (Pygoscelis adeliae)",2850,"Female"
"60","Adelie Penguin (Pygoscelis adeliae)",3950,"Male"
"61","Adelie Penguin (Pygoscelis adeliae)",3350,"Female"
"62","Adelie Penguin (Pygoscelis adeliae)",4100,"Male"
"63","Adelie Penguin (Pygoscelis adeliae)",3050,"Female"
"64","Adelie Penguin (Pygoscelis adeliae)",4450,"Male"
"65","Adelie Penguin (Pygoscelis adeliae)",3600,"Female"
"66","Adelie Penguin (Pygoscelis adeliae)",3900,"Male"
"67","Adelie Penguin (Pygoscelis adeliae)",3550,"Female"
"68","Adelie Penguin (Pygoscelis adeliae)",4150,"Male"
"69","Adelie Penguin (Pygoscelis adeliae)",3700,"Female"
"70","Adelie Penguin (Pygoscelis adeliae)",4250,"Male"
"71","Adelie Penguin (Pygoscelis adeliae)",3700,"Female"
"72","Adelie Penguin (Pygoscelis adeliae)",3900,"Male"
"73","Adelie Penguin (Pygoscelis adeliae)",3550,"Female"
"74","Adelie Penguin (Pygoscelis adeliae)",4000,"Male"
"75","Adelie Penguin (Pygoscelis adeliae)",3200,"Female"
"76","Adelie Penguin (Pygoscelis adeliae)",4700,"Male"
"77","Adelie Penguin (Pygoscelis adeliae)",3800,"Female"
"78","Adelie Penguin (Pygoscelis adeliae)",4200,"Male"
"79","Adelie Penguin (Pygoscelis adeliae)",3350,"Female"
"80","Adelie Penguin (Pygoscelis adeliae)",3550,"Male"
"81","Adelie Penguin (Pygoscelis adeliae)",3800,"Male"
"82","Adelie Penguin (Pygoscelis adeliae)",3500,"Female"
"83","Adelie Penguin (Pygoscelis adeliae)",3950,"Male"
"84","Adelie Penguin (Pygoscelis adeliae)",3600,"Female"
"85","Adelie Penguin (Pygoscelis adeliae)",3550,"Female"
"86","Adelie Penguin (Pygoscelis adeliae)",4300,"Male"
"87","Adelie Penguin (Pygoscelis adeliae)",3400,"Female"
"88","Adelie Penguin (Pygoscelis adeliae)",4450,"Male"
"89","Adelie Penguin (Pygoscelis adeliae)",3300,"Female"
"90","Adelie Penguin (Pygoscelis adeliae)",4300,"Male"
"91","Adelie Penguin (Pygoscelis adeliae)",3700,"Female"
"92","Adelie Penguin (Pygoscelis adeliae)",4350,"Male"
"93","Adelie Penguin (Pygoscelis adeliae)",2900,"Female"
"94","Adelie Penguin (Pygoscelis adeliae)",4100,"Male"
"95","Adelie Penguin (Pygoscelis adeliae)",3725,"Female"
"96","Adelie Penguin (Pygoscelis adeliae)",4725,"Male"
"97","Adelie Penguin (Pygoscelis adeliae)",3075,"Female"
